iter	Logloss
0	0.6323340005
1	0.6046333198
2	0.5906371448
3	0.5650154486
4	0.5534421814
5	0.5444524811
6	0.5265719582
7	0.5175998745
8	0.5018774606
9	0.4864414351
10	0.474668401
11	0.4641467142
12	0.4543833981
13	0.4476535083
14	0.4438964032
15	0.4378233649
16	0.432128007
17	0.4285936017
18	0.4233211586
19	0.419552187
20	0.4158109687
21	0.4124648443
22	0.4082985729
23	0.4043511227
24	0.3995224794
25	0.3975975549
26	0.3951539009
27	0.3915856238
28	0.3903768536
29	0.3871723116
30	0.3860133914
31	0.3850082847
32	0.3837998682
33	0.3829978683
34	0.3815946117
35	0.3807975682
36	0.3778078633
37	0.3767452128
38	0.3750391392
39	0.3729938664
40	0.3694070591
41	0.368267936
42	0.36706509
43	0.366175889
44	0.365197351
45	0.36342801
46	0.3623291142
47	0.3616176379
48	0.3608408344
49	0.3598189944
50	0.3590029348
51	0.3580328373
52	0.3571207694
53	0.3564790691
54	0.3555053507
55	0.3540349166
56	0.3526960774
57	0.3518966594
58	0.3509730573
59	0.3503812632
60	0.3498393774
61	0.3489785265
62	0.348191056
63	0.347698474
64	0.3468739522
65	0.3461454425
66	0.3452185132
67	0.3443155549
68	0.3435409581
69	0.342677701
70	0.3418925617
71	0.3411143033
72	0.3403859544
73	0.339349664
74	0.3387083162
75	0.3380784334
76	0.3374786972
77	0.3368384032
78	0.3360385125
79	0.3353828546
80	0.3342642446
81	0.3336282653
82	0.333113477
83	0.3325107201
84	0.3318161992
85	0.3312589065
86	0.3307620739
87	0.3301289753
88	0.3293239077
89	0.3286020828
90	0.3280105671
91	0.3272619964
92	0.3265285836
93	0.3248066228
94	0.3243423533
95	0.3233974496
96	0.322796403
97	0.3220146963
98	0.3214801161
99	0.3206906578
100	0.3199933416
101	0.3194735208
102	0.3188890562
103	0.3181644073
104	0.3173035269
105	0.3165731342
106	0.3159858571
107	0.3155438198
108	0.3150934563
109	0.3142672324
110	0.313763945
111	0.3129855379
112	0.3121736286
113	0.311333766
114	0.3104160609
115	0.3095227446
116	0.3088606616
117	0.3080335182
118	0.307199049
119	0.3059176484
120	0.3051760761
121	0.3046565374
122	0.3040239076
123	0.3033140102
124	0.3027824156
125	0.3023400414
126	0.3017012122
127	0.3011161715
128	0.3006011478
129	0.2999605162
130	0.2993214897
131	0.2987551319
132	0.2981855392
133	0.2975053898
134	0.296776318
135	0.2961486525
136	0.2954192687
137	0.2948868536
138	0.294147464
139	0.2936000941
140	0.2930716374
141	0.2926365735
142	0.292069145
143	0.2913501209
144	0.2908646623
145	0.2904139094
146	0.2897338253
147	0.2888693757
148	0.2881811004
149	0.2875584187
150	0.2871691731
151	0.2864604074
152	0.2858154706
153	0.2852634893
154	0.2846303535
155	0.2839031682
156	0.283525508
157	0.2830828972
158	0.2824644352
159	0.2818896508
160	0.2814387508
161	0.2809899843
162	0.2803167463
163	0.2797835936
164	0.2790260678
165	0.2785210423
166	0.2780928053
167	0.2775840354
168	0.2770937452
169	0.2766833199
170	0.2763604063
171	0.2760390691
172	0.2755003259
173	0.2749250281
174	0.2743374602
175	0.273880047
176	0.2733698246
177	0.2727837942
178	0.2721755994
179	0.2716670253
180	0.2711646172
181	0.2707374696
182	0.2702743329
183	0.2694316087
184	0.2687613619
185	0.2681458803
186	0.2673692959
187	0.2668604192
188	0.2663455715
189	0.2657193794
190	0.2645398742
191	0.2640510978
192	0.2637646847
193	0.2633658325
194	0.2628365977
195	0.2625383383
196	0.2620140585
197	0.2616569779
198	0.2610585891
199	0.2604876765
